bag,duration_s,formation_max_m,formation_p95_m,formation_rmse_m,min_pair_distance_m,notes,s3_act_err_phase1_m,s3_act_err_phase2_m,s3_act_err_phase3_m,s3_act_phase1_m,s3_act_phase2_m,s3_act_phase3_m,s3_des_delta12_m,s3_des_delta23_m,s3_des_phase1_m,s3_des_phase2_m,s3_des_phase3_m,scene,seed,status,track_max_m,track_p95_m,track_rmse_m
scene01_hover_seed01.bag,59.499999999999986,0.017919882585661906,0.014280355562347774,0.00687999410228313,0.9829392148056603,,,,,,,,,,,,,scene01_hover,seed01,PASS,0.009938897612143859,0.008497393207065286,0.007155464801750969
scene01_hover_seed02.bag,59.399999999999984,0.0157792459309275,0.012934525073328866,0.007018760543525368,0.9842207540690725,,,,,,,,,,,,,scene01_hover,seed02,PASS,0.011236841026042827,0.008678634833444625,0.00739339615776865
scene01_hover_seed03.bag,59.69999999999999,0.018288749397576298,0.01402740086672336,0.006523946557203624,0.9854882708664792,,,,,,,,,,,,,scene01_hover,seed03,PASS,0.012337152661300877,0.009018891316041847,0.008043303553570504
scene01_hover_seed04.bag,59.69999999999999,0.015849256624470787,0.014573566091627188,0.007949058713989546,0.9842608484334207,,,,,,,,,,,,,scene01_hover,seed04,PASS,0.011432385627331077,0.00826870969275116,0.007517178645867681
scene01_hover_seed05.bag,59.59999999999999,0.014243090721108742,0.01049591513957111,0.0053134300108435215,0.9857569092788913,,,,,,,,,,,,,scene01_hover,seed05,PASS,0.012533441222043747,0.008102753625125868,0.007247440687422196
scene02_circle_seed01.bag,89.39999999999998,0.05800540708079671,0.02722681888879768,0.013395652468496146,0.9533131168036386,,,,,,,,,,,,,scene02_circle,seed01,PASS,0.44587690552663634,0.4422471414853968,0.42464232520515727
scene02_circle_seed02.bag,89.29999999999998,0.04661828213143571,0.024922034953284336,0.011952975029360309,0.9533817178685643,,,,,,,,,,,,,scene02_circle,seed02,PASS,0.4465616288826,0.43987996009110364,0.42476112208571465
scene02_circle_seed03.bag,89.59999999999998,0.03938623497538851,0.012610110179931492,0.006349865851401612,0.9606137650246115,,,,,,,,,,,,,scene02_circle,seed03,PASS,0.4515344077223812,0.40326994201072436,0.3950228739859072
scene02_circle_seed04.bag,89.49999999999999,0.03035545968631903,0.013846850304596231,0.006936031254650838,0.9719954119661346,,,,,,,,,,,,,scene02_circle,seed04,PASS,0.40889131501116366,0.39545789206570986,0.3828484113174692
scene02_circle_seed05.bag,89.59999999999998,0.022776071038684287,0.012482032472375957,0.006563075965222642,0.9791002462610622,,,,,,,,,,,,,scene02_circle,seed05,PASS,0.40842357914681343,0.3926507400956188,0.38245860880582655
scene03_reconfig_seed01.bag,119.39999999999998,1.975097417342731,0.24421998999792421,0.18160493110920545,0.5848183467144165,,0.002607340818576054,0.032787974636755646,0.00021308541770981293,1.1206938791708845,1.3732034387688195,1.3657168821555965,0.28269019341611457,0.04006144583226878,1.1233012199894605,1.405991413405575,1.3659299675733063,scene03_reconfig,seed01,PASS,1.4771977957963798,0.5063510475330508,0.4401028946909621
scene03_reconfig_seed02.bag,119.29999999999997,1.7157242821105734,0.23361929731210154,0.17574649020130473,0.5782266924669935,,0.002717137945310366,0.03362808915085158,0.00016230198814981556,1.1205481200713001,1.3741556480606048,1.3660603811525978,0.28451847919484585,0.04188565804700839,1.1232652580166105,1.4077837372114563,1.365898079164448,scene03_reconfig,seed02,PASS,1.3425758445894194,0.5051043503970438,0.43746364682427236
scene03_reconfig_seed03.bag,119.59999999999998,2.1422235385088397,0.24479958099634733,0.20289282333132688,0.6373220007932344,,0.0021937201654753657,0.033482260439390954,0.0005635764863203274,1.1211432063875406,1.3702977822671114,1.3653738428957531,0.2804431161534864,0.03784262332442889,1.123336926553016,1.4037800427065024,1.3659374193820735,scene03_reconfig,seed03,PASS,1.5624054906118572,0.5271065491309718,0.44896082862079234
scene03_reconfig_seed04.bag,119.69999999999997,2.118193554522579,0.261872158776221,0.19746125568199013,0.6288012707155586,,0.002490110027827175,0.033063936254695836,0.0007177664888182722,1.1208532639615882,1.3555143376366898,1.3652877687071567,0.26523489990197024,0.022572738695410655,1.1233433739894154,1.3885782738913857,1.366005535195975,scene03_reconfig,seed04,PASS,1.5021829976437322,0.507788280361514,0.43511533875690483
scene03_reconfig_seed05.bag,119.19999999999997,1.7256334474331576,0.23488328812434128,0.17717282131504275,0.5999822262416994,,0.002545218498274826,0.0332061057148918,4.4743997384300016e-05,1.1207481249203197,1.376351375907885,1.365844168995859,0.2862641382041822,0.0437580566243021,1.1232933434185945,1.4095574816227767,1.3657994249984746,scene03_reconfig,seed05,PASS,1.3636833070197065,0.5101301521243847,0.4445740365290054
scene04_wind_seed01.bag,89.49999999999999,0.051698565353351045,0.02546487047962842,0.012299207675107586,0.9556285990792699,,,,,,,,,,,,,scene04_wind,seed01,PASS,0.4605433157689158,0.4462022447174893,0.4247101646301191
scene04_wind_seed02.bag,89.29999999999998,0.01536364595252071,0.0065008174961930214,0.003122816915600911,0.988407445075839,,,,,,,,,,,,,scene04_wind,seed02,PASS,0.4586564859369535,0.44943064919386555,0.43416906999676186
scene04_wind_seed03.bag,89.49999999999999,0.022370246312028552,0.0048113369590951915,0.002307980769148291,0.9862049756565339,,,,,,,,,,,,,scene04_wind,seed03,PASS,0.4297728260641668,0.41801695425928614,0.40446507664448234
scene04_wind_seed04.bag,89.69999999999997,0.018416086431614853,0.004754309197182127,0.0022300117353097693,0.9858897182303821,,,,,,,,,,,,,scene04_wind,seed04,PASS,0.45171203923098346,0.4390916528613102,0.424716030019456
scene04_wind_seed05.bag,89.09999999999998,0.0107838675543247,0.005117414419659331,0.0024078557468000736,0.9918733221774663,,,,,,,,,,,,,scene04_wind,seed05,PASS,0.4245586991486339,0.41237937652497925,0.3977580942054307
scene05_longtime_seed01.bag,179.39999999999998,0.01742792990301334,0.010956408298898108,0.005319891758137855,0.9836427844360179,,,,,,,,,,,,,scene05_longtime,seed01,PASS,0.4269529097798642,0.4236922715158951,0.41637153498297375
scene05_longtime_seed02.bag,179.09999999999997,0.07880027598150507,0.01309519669441775,0.007079894002418539,0.9211997240184949,,,,,,,,,,,,,scene05_longtime,seed02,PASS,0.44554075104211893,0.4353773585877097,0.4275268336865727
scene05_longtime_seed03.bag,179.39999999999995,0.047050253601157555,0.02761748728518183,0.013624821671857303,0.9553199000978173,,,,,,,,,,,,,scene05_longtime,seed03,PASS,0.45202541279434993,0.44417782151009955,0.42680407417937405
